show_id,duration
s8,125
s10,104
s13,127
s25,166
s28,103
s29,97
s30,106
s39,96
s42,124
s43,116
s44,98
s45,91
s47,115
s49,122
s52,99
s53,99
s54,88
s55,100
s57,102
s58,93
s59,96
s60,95
s61,85
s62,97
s63,95
s64,83
s74,182
s82,106
s85,147
s91,95
s95,90
s97,97
s106,128
s108,90
s115,143
s116,119
s117,114
s119,106
s123,118
s127,115
s128,95
s130,108
s132,117
s134,121
s135,142
s136,113
s137,154
s138,95
s139,108
s140,120
s141,100
s142,82
s143,124
s144,114
s145,104
s146,94
s147,94
s150,93
s151,97
s152,109
s153,88
s156,101
s157,105
s158,102
s159,101
s160,103
s162,106
s163,118
s164,86
s165,121
s167,229
s168,76
s169,95
s170,98
s171,89
s172,120
s173,110
s174,83
s175,121
s176,105
s177,94
s178,156
s179,112
s180,95
s183,114
s184,129
s189,97
s191,125
s192,107
s193,127
s196,128
s200,135
s201,124
s202,136
s203,165
s204,124
s205,136
s206,150
s207,112
s208,119
s209,133
s210,142
s211,93
s212,113
s216,116
s217,106
s218,145
s228,95
s229,108
s230,90
s232,92
s248,110
s252,91
s254,135
s260,82
s265,94
s268,121
s271,110
s279,64
s280,59
s282,101
s283,127
s285,114
s286,108
s293,98
s294,86
s296,111
s299,115
s300,102
s301,100
s302,135
s304,95
s305,97
s306,124
s307,118
s308,115
s309,115
s315,104
s316,106
s326,87
s327,88
s328,114
s329,90
s330,142
s331,90
s333,105
s334,103
s335,116
s336,113
s338,99
s341,148
s342,189
s343,97
s344,102
s345,99
s346,85
s347,112
s348,91
s349,91
s350,141
s351,130
s352,98
s353,105
s354,101
s355,105
s356,118
s357,97
s358,102
s359,114
s360,111
s361,125
s366,103
s375,94
s378,92
s384,143
s390,117
s393,165
s394,91
s403,111
s411,64
s416,68
s427,99
s430,105
s434,102
s437,91
s438,88
s440,101
s446,94
s447,105
s448,117
s449,115
s450,124
s451,131
s452,122
s453,113
s461,86
s464,95
s470,87
s475,96
s487,94
s490,104
s492,97
s493,91
s495,106
s497,90
s503,104
s507,92
s509,95
s519,105
s529,116
s530,124
s532,101
s535,95
s542,128
s543,143
s552,136
s555,136
s556,126
s557,116
s558,100
s559,115
s560,125
s562,94
s563,90
s564,95
s565,155
s567,98
s568,108
s569,96
s570,117
s573,103
s574,94
s575,93
s576,115
s577,120
s579,145
s580,126
s582,101
s583,118
s584,109
s585,89
s586,106
s590,101
s592,123
s593,106
s594,89
s595,128
s596,85
s597,89
s598,108
s599,105
s600,133
s601,129
s602,127
s603,113
s604,112
s605,130
s606,100
s607,103
s608,85
s609,124
s610,103
s611,121
s612,89
s613,92
s614,112
s615,114
s616,116
s619,98
s623,100
s631,97
s635,83
s636,101
s637,109
s644,87
s651,96
s652,84
s655,125
s656,119
s657,105
s686,111
s689,119
s695,13
s699,101
s702,96
s703,122
s706,89
s709,98
s712,119
s717,104
s719,101
s722,99
s723,84
s729,89
s736,113
s737,110
s740,102
s741,86
s742,91
s743,117
s744,99
s746,77
s747,97
s748,106
s751,97
s753,104
s755,110
s757,98
s758,74
s763,103
s765,94
s766,112
s767,49
s769,111
s771,72
s774,78
s775,101
s776,110
s777,94
s778,70
s780,118
s783,103
s784,95
s785,93
s787,101
s788,101
s789,89
s791,109
s792,104
s793,90
s794,109
s795,145
s797,88
s798,132
s799,109
s800,133
s801,85
s802,104
s803,99
s805,93
s809,98
s810,101
s811,94
s813,99
s815,108
s817,128
s818,104
s819,127
s820,136
s822,97
s823,88
s824,97
s825,97
s827,88
s829,97
s835,97
s837,118
s839,70
s840,91
s841,92
s847,94
s851,131
s854,148
s860,92
s864,88
s866,109
s867,92
s871,101
s872,140
s873,89
s874,81
s878,99
s879,107
s882,107
s883,90
s886,104
s888,100
s890,102
s892,105
s893,107
s895,99
s896,102
s900,119
s902,86
s904,122
s905,95
s906,104
s907,118
s910,98
s911,99
s914,107
s915,97
s916,112
s917,118
s918,109
s923,109
s925,88
s927,97
s929,97
s931,95
s932,91
s933,115
s934,93
s935,109
s936,96
s943,138
s944,113
s945,94
s946,89
s947,121
s948,127
s949,94
s950,89
s951,136
s952,89
s953,99
s954,93
s955,85
s956,102
s957,101
s960,128
s963,85
s967,95
s970,121
s971,116
s972,91
s974,149
s975,113
s977,127
s978,101
s979,102
s980,102
s981,107
s982,123
s983,98
s984,95
s985,101
s986,104
s987,104
s990,111
s991,102
s992,15
s995,120
s996,106
s997,116
s1000,116
s1002,86
s1003,97
s1014,132
s1016,126
s1017,101
s1018,102
s1019,147
s1020,224
s1021,141
s1022,109
s1023,162
s1024,142
s1025,93
s1027,60
s1028,119
s1030,96
s1031,116
s1032,102
s1034,123
s1035,102
s1036,127
s1037,88
s1038,106
s1040,65
s1042,96
s1047,88
s1051,143
s1053,137
s1054,75
s1056,103
s1067,130
s1070,145
s1081,118
s1084,102
s1086,132
s1087,108
s1088,133
s1089,107
s1090,32
s1091,78
s1099,140
s1100,143
s1101,88
s1102,89
s1103,93
s1104,97
s1105,94
s1106,112
s1107,100
s1108,120
s1109,91
s1110,98
s1111,113
s1112,98
s1113,91
s1114,158
s1115,164
s1116,133
s1119,103
s1120,90
s1121,116
s1122,96
s1123,121
s1125,101
s1127,173
s1129,89
s1132,181
s1134,99
s1135,88
s1136,107
s1137,114
s1138,96
s1139,149
s1140,102
s1141,83
s1142,98
s1143,83
s1145,104
s1146,111
s1148,98
s1151,93
s1152,73
s1154,141
s1155,116
s1157,98
s1161,95
s1163,93
s1165,97
s1166,114
s1168,100
s1171,105
s1173,60
s1176,98
s1177,108
s1178,90
s1179,102
s1185,120
s1186,106
s1188,115
s1189,98
s1190,60
s1191,113
s1192,101
s1193,24
s1195,80
s1196,100
s1198,139
s1199,74
s1200,131
s1203,131
s1204,118
s1209,97
s1210,92
s1212,136
s1213,97
s1216,110
s1217,105
s1219,90
s1220,107
s1221,92
s1222,94
s1223,99
s1229,97
s1231,151
s1233,108
s1234,113
s1237,81
s1238,116
s1240,119
s1241,116
s1242,112
s1244,121
s1245,115
s1249,98
s1252,181
s1253,100
s1254,22
s1255,134
s1257,94
s1259,88
s1260,119
s1261,107
s1262,112
s1264,103
s1265,90
s1266,120
s1267,97
s1268,102
s1270,106
s1274,119
s1279,58
s1282,143
s1284,112
s1285,134
s1287,123
s1289,123
s1291,118
s1292,91
s1296,97
s1298,85
s1305,139
s1306,162
s1308,92
s1310,86
s1312,107
s1313,85
s1316,83
s1317,104
s1319,116
s1320,87
s1323,91
s1324,119
s1325,102
s1326,86
s1327,102
s1328,98
s1330,99
s1331,108
s1334,114
s1335,104
s1337,88
s1338,104
s1341,123
s1342,106
s1343,138
s1345,107
s1346,133
s1347,97
s1348,116
s1352,123
s1354,89
s1358,93
s1359,139
s1360,112
s1365,101
s1367,113
s1368,89
s1369,107
s1370,123
s1371,113
s1373,90
s1375,52
s1377,127
s1379,95
s1380,121
s1387,95
s1388,133
s1389,127
s1390,95
s1391,101
s1392,123
s1394,89
s1397,100
s1398,108
s1399,94
s1400,103
s1404,105
s1406,116
s1407,92
s1408,65
s1410,115
s1411,96
s1412,32
s1413,102
s1414,102
s1415,101
s1416,71
s1418,81
s1422,112
s1423,161
s1424,129
s1425,85
s1427,148
s1429,99
s1434,101
s1435,89
s1436,128
s1439,99
s1442,126
s1445,106
s1446,101
s1447,87
s1448,111
s1451,90
s1452,91
s1453,101
s1454,96
s1455,96
s1457,148
s1459,96
s1460,98
s1462,104
s1465,53
s1468,113
s1469,102
s1470,118
s1471,83
s1473,116
s1475,116
s1476,106
s1482,105
s1485,8
s1486,110
s1487,71
s1489,91
s1491,46
s1492,109
s1494,102
s1495,101
s1496,94
s1497,110
s1498,117
s1499,85
s1500,119
s1501,115
s1502,105
s1503,68
s1505,57
s1508,28
s1510,98
s1511,95
s1512,96
s1513,66
s1514,112
s1516,84
s1518,94
s1520,98
s1522,85
s1523,120
s1524,83
s1525,94
s1526,102
s1527,111
s1530,90
s1535,110
s1537,87
s1538,132
s1541,117
s1543,50
s1545,106
s1550,125
s1551,107
s1559,91
s1561,132
s1562,133
s1564,109
s1566,107
s1567,111
s1568,108
s1569,105
s1572,119
s1576,104
s1577,83
s1581,79
s1583,115
s1585,97
s1589,26
s1592,46
s1593,106
s1596,133
s1598,93
s1599,108
s1600,96
s1602,101
s1603,106
s1605,54
s1607,118
s1609,117
s1610,48
s1611,139
s1613,115
s1614,109
s1617,91
s1618,60
s1621,102
s1622,120
s1625,149
s1627,91
s1630,99
s1631,106
s1632,108
s1633,45
s1634,93
s1636,22
s1637,81
s1638,98
s1643,100
s1644,112
s1645,114
s1646,68
s1647,103
s1648,121
s1649,95
s1651,87
s1652,115
s1654,171
s1656,46
s1657,117
s1658,84
s1660,98
s1661,83
s1663,97
s1664,99
s1665,108
s1666,93
s1667,42
s1672,64
s1674,162
s1675,130
s1676,108
s1677,129
s1678,105
s1679,133
s1680,142
s1681,128
s1682,97
s1683,107
s1684,135
s1686,84
s1687,70
s1690,124
s1692,84
s1695,95
s1696,84
s1700,120
s1701,87
s1703,75
s1704,124
s1706,95
s1708,107
s1710,123
s1711,85
s1713,150
s1714,97
s1715,88
s1721,93
